domain,url,for_sale,buy_now_price,all_prices_usd,summary
i.ar,https://i.ar,False,NONE,,Ignacio Randazzo’s personal professional website.
i.ac,http://i.ac/,False,NONE,,A landing page promoting the i.ac premium domain name.
i.at,https://i.at,False,NONE,"0.99, 2.49, 0.49, 0.0",MeMail is an email service offering personalized addresses and storage options.
i.bo,https://i.bo/,False,NONE,,"An obfuscated collection of .bo domain fragments and a URL, with no clear sale information."
i.cr,https://i.cr/,False,NONE,,A Diamond Trading login page for Jainisha Infosoft.
i.cc,http://i.cc,True,NONE,,The domain i.cc is for sale on a premium domain trading platform.
i.cv,https://i.cv/,False,NONE,,A deployment status page indicating a temporarily paused deployment.
i.cg,http://i.cg/,False,NONE,,A parked i.cg domain page showing contact details with no sale information.
i.cx,https://013.com/?s=i.cx,False,NONE,,A domain inquiry page for the i.cx domain with contact email info@013.com.
i.dk,https://i.dk,False,NONE,,A top-500 list of the most visited Danish domain names on i.dk.
i.ee,https://i.ee/,False,NONE,,An inaccessible CloudFront error page indicating the site cannot be accessed.
i.cz,https://i.cz,False,NONE,,"ICZ Group is a Czech IT solutions and systems integration company offering integrated software, cybersecurity, risk management, and NIS2 compliance services."
i.fr,https://www.i.fr/,False,NONE,,French contact form page on i.fr that redirects to immobilier.fr (a real estate site).
i.gg,https://i.gg/,False,NONE,,The domain i.gg is a URL shortener service.
i.gd,https://www.liveislife.com/,False,NONE,,A personal lifestyle blog named 'Live Is Life'.
h.pn,http://h.pn,True,NONE,"57500, 13490, 45169, 257000, 13882, 11800, 100000, 25000, 12000, 7700, 100000, 25000, 500000, 181720, 169000, 115000, 85000, 57338, 44145, 19900, 11000, 6800000, 1500000, 350000, 60000, 1750, 123, 8900, 8900, 8900, 8900, 8900, 49000, 110000, 50000, 500000, 177000, 88580, 18000, 12000, 16800, 16800, 20, 4800, 400000, 19800, 8200, 100000, 177000, 88580, 18000, 12000, 16800, 16800, 110000, 50000, 500000, 177000, 88580, 18000, 12000, 16800, 16800, 59000, 3850, 3850, 3850, 3850, 3850, 3850, 4730, 3850, 22880, 52880, 12880, 22880, 12880, 12880, 12880, 12880, 12880, 12880, 52880, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 78000, 3960, 2600, 2600, 2600, 2600, 2600, 3960, 4880, 2600, 8900, 8900, 8900, 8900, 8900, 8900",Marketplace selling ultra-short domain names (one-character and short) for sale.
i.gs,https://i.gs/,True,NONE,,The i.gs domain may be for sale.
i.cm,https://i.cm,True,NONE,"374.65, 2816.9, 704.23",A fixed-price domain marketplace operated by West.cn for buying and selling domains.
h.ws,http://h.ws/,False,NONE,,A landing page for the WEBSITE.WS domain promoting a lifetime internet address.
i.gp,https://website.org/404?domain=i.gp,False,NONE,,A page promoting free website registration under the i.gp domain via Website.org.
i.af,http://i.af/,False,NONE,,The i.af domain is parked and managed by INWX.
i.fo,http://i.fo/,False,NONE,,A login page for Harmonikan.org.
i.hn,https://i.hn/,True,50000,50000,"The i.hn domain is for sale for $50,000."
h.mw,http://h.mw,True,NONE,"57500, 13490, 45169, 257000, 13882, 11800, 100000, 25000, 12000, 7700, 100000, 25000, 500000, 181720, 169000, 115000, 85000, 57338, 44145, 19900, 11000, 6800000, 1500000, 350000, 60000, 1750, 123, 8900, 49000, 50000, 177000, 88580, 18000, 16800, 20, 4800, 400000, 19800, 8200, 30000, 150000, 78000, 3960, 2600, 4880, 122880, 59000, 3850, 4730, 52880, 22880, 12880, 110000, 60000, 1500000, 6800000, 110000, 204, 53, 27.16, 58.85, 80, 50, 60, 78, 110000, 1250000",A marketplace listing for short 1-letter and other ultra-short domain names for sale.
i.gt,https://i.gt,False,NONE,,"Montreal-based CanaTec is a technology company promoting Canadian products worldwide, offering a wide range of electronics, appliances and related services."
i.ht,https://i.ht/,False,NONE,,A website displaying a 403 Forbidden access error.
i.is,https://i.is,False,NONE,,Promotional site showcasing Icelandic water brands and the purity of Iceland's natural springs.
i.gy,https://i.gy,False,NONE,,A free self-improvement knowledge site offering articles and essays on personal growth.
i.hm,https://heming.org/,False,NONE,"0, 2.56",A personal blog about domain names and domain industry news.
i.ie,https://www.i.ie/,True,NONE,"27500, 2750",i.ie is a premium single-letter .ie domain offered for sale.
i.je,https://i.je,False,NONE,,Sheetal Group is a global diamond manufacturing company focused on ethical sourcing and sustainability.
i.hr,https://i.hr,True,30000,"33000, 2365, 7500",Premium domain listing offering the i.hr domain for sale with buy-now and lease-to-own options.
i.lu,https://i.lu/,False,NONE,,Minimal page for the i.lu domain featuring a contact email.
i.la,https://i.la,True,50000,"50000, 1667, 10","A marketplace listing selling the domain I.LA with a USD 50,000 buy-now price and installment options."
i.mk,https://i.mk/,False,NONE,,A parked domain (i.mk) currently available for development.
i.ls,https://i.ls/,False,NONE,,CloudFront error page indicating a 502 Bad Gateway and server connectivity issues for the requested site.
i.me,https://i.me,False,NONE,,AI-powered brand-name generator and .ME domain branding resource.
i.mp,https://imput.net/,False,NONE,,"Imput is a small software development and security research firm focused on private software, reverse engineering, and network services."
i.nf,https://i.nf/login,False,NONE,,Polr appears to be a URL shortening service.
i.pe,https://i.pe/,False,NONE,,It is the i.pe project owned by Xcrivas Comunicaciones y Servicios SRL.
i.my,https://i.my/,True,NONE,,Domain landing page for i.my with a Buy this domain prompt.
i.rw,https://i.rw,False,NONE,,An HTTP server test page powered by CentOS-WebPanel.
i.pl,https://i.pl,False,NONE,1750,A Polish-language information portal offering national and world news.
i.pn,https://i.pn,False,NONE,,An IP address information and geolocation API data page.
i.kz,http://i.kz,False,NONE,"20, 600",A Kazakh online loan service offering payday and consumer loans.
i.sb,https://i.sb,True,NONE,,The domain i.sb is for sale and available for offers.
i.sv,https://i.sv/,True,NONE,,A domain (i.sv) that may be for sale; contact admin@booyeu.com.
i.sk,https://i.sk/,True,NONE,,i.sk is a registered domain currently available for sale by offer.
i.tl,https://i.tl/,False,NONE,,The site is under construction.
i.kg,https://restoran.kg/,False,NONE,,A restaurant website domain (restoran.kg) currently under construction.
i.tt,https://i.tt/,True,NONE,,The i.tt domain is for sale and offers are invited.
i.de,http://i.de,False,NONE,,"A Checkdomain parked domain under construction offering domain checks, registrations, hosting, and SSL services."
i.sg,https://i.sg,False,NONE,"99, 199, 299, 388, 398, 399, 500, 599, 666, 888, 899, 1299, 1499, 1888",A Singapore Golden Number listing site selling various premium number combinations with limited-time offers.
i.ua,https://i.ua,False,NONE,,i.ua is a Ukrainian online media portal providing news and various online services.
i.tm,http://i.tm/,False,NONE,,A landing page promoting the i.tm premium domain name.
i.vu,https://i.vu,False,NONE,,A website for Inclusive vision for us focused on advancing responsible real estate studies in the AI era.
j.ac,https://j.ac/,False,NONE,,A 404 error page indicating the requested page was not found.
i.ro,http://i.ro,False,NONE,"1.15, 1.0, 1.31",RO24 is a Romanian news portal providing headlines and currency exchange rates.
j.ai,https://j.ai,True,3000000,3000000,"A domain marketplace listing indicating j.ai is for sale with a $3,000,000 buy-now option."
j.am,https://j.am/,False,NONE,,The j.am domain is parked with Sedo Domain Parking.
j.ar,https://j.ar/,True,120000,120000,"A domain-for-sale listing for the J.AR domain with a buy-now price of $120,000 on Spaceship."
j.bw,http://j.bw/,False,NONE,,A beta project offering the shortest free URL shortener at j.bw.
j.cr,http://j.cr/,False,NONE,,A confirmation message that a new web server is ready to use.
j.cl,https://j.cl/,True,10900,10900,A domain name j.cl is offered for sale.
j.bo,https://j.bo/,False,NONE,,An obfuscated domain string with no sale information.
j.cv,https://j.cv,False,NONE,"100, 28000000","Personal website of James LePage, a founder and AI leader at Automattic."
j.de,https://j.de,True,NONE,,Nameshift.com is a domain name marketplace offering escrow-based domain purchases with buy-now or offer pricing.
j.cn,https://j.cn/,False,NONE,,"Planet J is a site promoting an immersive online realm with role-playing games, 3D avatar customization, and parties."
j.dk,https://j.dk,False,NONE,,A Danish job search website.
j.cz,http://j.cz,False,NONE,,A public Jabber/XMPP server offering open registration and options to host domains.
j.fr,https://j.fr/,True,NONE,,A parked domain (j.fr) that is for sale.
j.et,https://j.et,False,NONE,"4.95, 9.95, 19.95, 24.95, 49.95","Jetpack is a WordPress security, performance, and site-management service."
j.gp,https://j.gp/,True,NONE,,The domain j.gp may be for sale.
j.gd,http://j.gd/,True,9999,9999,"A domain marketplace listing short, brandable domains with Make Offer and Buy Now options."
i.mw,http://i.mw,True,NONE,"57500, 13490, 45169, 257000, 13882, 11800, 100000, 25000, 12000, 7700, 100000, 25000, 500000, 181720, 169000, 115000, 85000, 57338, 44145, 19900, 11000, 6800000, 11000, 350000, 60000, 1750, 80, 8900, 59, 49000, 800, 177000, 53, 88580, 20, 4800, 400000, 19800, 8200, 30000, 150000, 12880, 22880, 52880, 78000, 3960, 2600, 4880, 8900, 110000, 177000, 16800, 78000, 110000",A marketplace offering one-letter and other short domain names for sale with buy-now options.
i.ws,http://i.ws/,False,NONE,,A landing page for the domain website.ws promoting its tagline Your Internet Address For Life.
j.gs,https://publisher.linkvertise.com/adfly-hard-migrator/url?url=https://j.gs/,False,NONE,,"Cloudflare-protected access page for linkvertise.com, a link shortener/redirect service."
j.fo,https://j.fo,False,NONE,,A Faroese political party website (the Social Democratic Party) presenting policy areas and news.
j.hm,http://j.hm/,True,NONE,,The domain j.hm is for sale.
j.hn,https://j.hn,False,NONE,,"A personal blog by John Dyer about theology, technology, and society."
j.is,https://j.is/,False,NONE,,The website is configured for the domain j.is.
j.ht,https://1-single-letter-domains.com/landingpage.php?domain=j.ht,True,NONE,,"A listing offering the sale of one-letter domain names, including the j.ht domain."
j.io,http://j.io/,False,NONE,,A parked domain page for j.io with contact details.
j.ke,https://sedo.com/search/details/?partnerid=324561&language=us&domain=j.ke&origin=sales_lander_15&utm_medium=Parking&utm_campaign=offerpage,True,NONE,,A Sedo domain marketplace listing indicating the domain j.ke is for sale.
j.kz,https://j.kz/,True,NONE,,The j.kz domain is for sale.
j.mp,https://j.mp/,False,NONE,,Bitly 404 Not Found page from bitly.com.
j.mu,https://j.mu,False,NONE,,Official James Madison University website.
j.lu,https://j.lu/,False,NONE,,A domain named j.lu with a contact email j@j.lu.
j.mr,http://ww53.j.mr/challenge?next=/,False,NONE,,j.mr is a domain name with no sale information provided.
j.pl,https://j.pl/,False,NONE,,Default nginx welcome page indicating the site is running nginx.
j.mk,http://www.j.mk/,True,NONE,1.5,A Netim domain registration page offering discounted domains with an option to contact the current owner.
j.pn,https://j.pn,False,NONE,"6.45, 64.52",A Japanese news agency platform inviting everyday creators to submit footage for monetized broadcast use.
j.ro,https://j.ro/,False,NONE,"1309, 2409",B2B tech hosting and email marketing platform offering DNS management and related services for j.ro and associated domains.
j.nz,https://j.co.nz/,False,NONE,,The j.nz domain associated with Julian Meadow & Associates.
j.sc,https://j.sc,False,NONE,,"A portfolio-style showcase listing technology companies across AI, robotics, defense, space, fintech, and consumer brands."
j.st,https://j.st/,False,NONE,,A domain for a URL shortening service that allows customizable link endings.
j.td,http://j.td/,False,NONE,,A confirmation that a newly configured web server is ready to use.
j.sh,http://j.sh/,False,NONE,,Promotional page advertising the premium j.sh domain.
j.sv,https://domgator.com/j-sv,False,NONE,,The website is currently unavailable due to a 503 Service Unavailable error.
j.tl,https://introvert.com/?domain=j.tl,True,NONE,,A domain listing page indicating introvert.com is for sale.
j.to,https://j.to/,False,NONE,,A chat app interface.
j.se,http://j.se/,False,NONE,,The domain j.se is parked with no active website and is owned by Domeneshop AS.
j.vu,https://j.vu/,False,NONE,,J.VU is a brand/domain represented by the domain j.vu.
j.mw,http://j.mw,True,1750,"57500, 13490, 45169, 257000, 13882, 11800, 100000, 25000, 12000, 7700, 6800000, 1500000, 350000, 60000, 1750, 123, 8900, 49000, 18000, 16800, 20, 4800, 400000, 19800, 8200, 30000, 50000, 12880, 78000, 3960, 2600, 4880, 500000, 177000, 88580, 59000, 108000, 54000, 3780, 4644",A marketplace offering one-character and other short domain names for sale.
j.tm,http://j.tm/,False,NONE,,A premium .tm domain name landing page for j.tm.
j.kg,http://j.kg,True,1750,"57500, 13490, 45169, 257000, 13882, 11800, 100000, 25000, 12000, 7700, 100000, 25000, 500000, 181720, 169000, 115000, 85000, 57338, 44145, 19900, 10900, 6800000, 1500000, 350000, 60000, 1750, 123, 8900, 8900, 8900, 8900, 8900, 49000, 177000, 88580, 18000, 12000, 16800, 16800, 20, 4800, 400000, 19800, 8200, 100000, 30000, 100000, 150000, 100000, 50000, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 78000, 3960, 2600, 2600, 2600, 2600, 2600, 3960, 4880, 2600, 8900, 8900, 8900, 109000, 30000, 100000, 150000, 50000, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 22880, 52880, 12880, 22880, 12880, 12880, 12880, 12880, 12880, 12880, 78000, 3960, 2600, 2600, 2600, 2600, 2600, 3960, 4880, 2600, 8900, 8900, 8900, 6800000, 1500000, 350000, 60000, 109000, 58.85, 58.85, 58.85, 58.85, 58.85, 53, 53, 53, 27.16, 27.16, 27.16",A marketplace listing for short one-letter and other tiny domain names for sale.
k.ai,https://k.ai,True,NONE,1000000,"k.ai is a premium, single-character .ai domain available for sale with a minimum negotiation budget of USD 1,000,000."
k.af,https://k.af,True,NONE,,"A domain sales marketplace offering search, filters, and brokerage services."
k.ac,http://k.ac/,True,NONE,,Premium domain k.ac is advertised as available for purchase.
k.ar,https://k.ar/,True,NONE,,The domain k.ar is for sale and parked on Sedo.
j.ie,http://j.ie,True,1750,"57500, 13490, 45169, 257000, 13882, 11800, 100000, 25000, 12000, 7700, 100000, 25000, 500000, 181720, 169000, 115000, 85000, 57338, 44145, 19900, 11000, 6800000, 1500000, 350000, 60000, 1750, 123, 8900, 8900, 8900, 8900, 8900, 49000, 110000, 50000, 500000, 177000, 88580, 18000, 12000, 16800, 16800, 20, 4800, 400000, 19800, 8200, 100000, 30000, 100000, 150000, 50000, 500000, 177000, 88580, 18000, 12000, 16800, 16800, 110000, 59000, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 78000, 3960, 2600, 2600, 2600, 2600, 2600, 2600, 3960, 4880, 2600, 8900, 8900, 8900, 8900, 8900, 110000, 100000, 50000, 500000, 177000, 88580, 18000, 12000, 16800, 16800, 12880, 52880, 12880, 22880, 12880, 12880, 12880, 12880, 12880, 12880, 78000, 3960, 2600, 2600, 2600, 2600, 2600, 2600, 3960, 4880, 2600, 8900, 8900, 8900, 8900, 8900, 58.85, 58.85, 58.85, 58.85, 58.85, 58.85, 58.85, 58.85, 58.85, 58.85, 58.85, 58.85, 58.85, 58.85, 58.85, 58.85, 58.85, 27.16, 27.16, 27.16, 27.16, 27.16, 27.16, 27.16, 27.16, 27.16, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 53, 20, 50, 53, 120, 204, 500, 100, 59, 58.85",A marketplace listing selling the world’s shortest 1-letter/1-character domain names for sale.
k.cg,http://k.cg/,False,NONE,,A success message indicating a newly configured web server is ready to use.
k.cl,https://k.cl/,False,NONE,,An under-construction placeholder page with a WhatsApp contact number.
k.bw,http://k.bw/,False,NONE,,A personal domain used by Kesav Mohan to stay in touch with family and friends and share k.bw addresses.
k.at,https://k.at,False,NONE,"182600000000, 5.5",Austrian news site Kurier’s Trend Hub homepage with trending headlines and lifestyle content.
k.bz,https://k.bz/,True,NONE,,A domain sales page offering the k.bz domain.
k.ee,https://domeeninimi.ee/k.ee,True,NONE,,The domain k.ee is for sale.
k.bo,https://k.bo/,False,NONE,,An obfuscated string containing a URL; the domain's purpose is unclear and no sale information is evident.
k.dk,https://www.kristeligt-dagblad.dk/,False,NONE,,A Danish Christian daily newspaper website.
j.ws,http://j.ws/,False,NONE,,Parked domain landing page for website.ws with the tagline 'Your Internet Address For Life'.
k.fr,http://k.fr/,False,NONE,,The domain k.fr is registered and currently unavailable.
k.fo,https://k.fo,True,NONE,,A premium domain marketplace listing for the k.fo domain for sale.
k.gt,https://k.gt/cgi-sys/defaultwebpage.cgi,False,NONE,,A default hosting error page indicating DNS/server misconfiguration.
k.gg,https://k.gg/,False,NONE,,A password-protected photography gallery/portfolio site organizing images into categorized albums.
k.gp,https://website.org/404?domain=k.gp,False,NONE,,k.gp is a free website creation domain managed by Website.org.
k.gy,https://k.gy/,False,NONE,,A placeholder default webpage indicating the site is under construction.
k.hm,http://k.hm/,True,NONE,,The domain k.hm is for sale.
k.de,http://k.de,False,NONE,,koeln.de is the official city portal for Cologne.
k.hr,https://www.kladaric.net/,False,NONE,,Kladaric family homepage with links to family member domains.
k.hn,https://k.hn/,False,NONE,,A URL shortening service offering a Telegram bot to generate shortened links.
k.gl,http://k.gl,False,NONE,247500000,A Greenlandic public broadcaster site (KNR) with TV/radio program listings and news.
k.cc,http://k.cc/,True,NONE,,The k.cc domain is for sale.
k.ie,https://www.k.ie/,True,NONE,1100,k.ie is a premium single-letter .ie domain available for purchase.
k.ht,https://k.ht,False,NONE,"538.92, 214.92, 54.0, 52.92, 538.92","Swiss-based online marketing agency offering content marketing, PR, and website optimization services."
k.is,https://k.is,False,NONE,,Klaki Tours offers private luxury off-road Superjeep tours in Iceland.
k.io,https://k.io,False,NONE,"10.23, 8.96, 24.32, 19.2, 12.8",Krystal Hosting is a UK-based green web hosting provider.
k.kn,https://k.kn/,False,NONE,,An HTTP 401 Unauthorized error page indicating that credentials are required to access the requested document.
k.kz,https://k.kz/,False,NONE,,A page about 'SOUTHPOLE 1998 footprints' with no sale information.
k.ki,https://k.ki/xss.php?do=login,False,NONE,,"An XSS Platform page promoting KK Coin and related crypto services, with login and a safety-testing disclaimer."
k.me,https://k.me,False,NONE,,Brand-name generation site that helps you create a personal or business brand name and promotes .ME domain registration.
k.ke,https://k.ke/,False,NONE,,"A personal blog about domain names, servers, and related tech updates."
k.cn,http://k.cn,False,NONE,"42.86, 30.57, 19.71, 102.29, 60.0, 14.14, 34.29, 27.86, 7.86, 121.43, 25.71, 94.14, 62.71, 9.71, 56.86, 16.0, 34.14, 10.29, 15.43, 49.29, 11.14, 18.29, 12.57, 84.0, 67.43, 69.71, 57.0, 148.29, 46.86, 18.57, 133.71, 48.29, 64.14, 28.43",A Chinese-language online marketplace offering a wide range of consumer goods.
k.nz,https://k.nz/,True,NONE,,The k.nz domain is no longer in business and is listed for sale.
k.mr,http://ww53.k.mr/challenge?next=/,False,NONE,,k.mr is a domain name.
k.ly,https://k.ly,False,NONE,,"Kubrina is a Libyan logistics and parcel delivery company offering standard, express, door-to-door, and pickup shipping services across Libya."
k.sb,https://k.sb/,False,NONE,,A basic corporate page for the K.SB brand.
k.sh,https://k.sh/,False,NONE,,A 404 Not Found error page indicating the requested page is unavailable.
k.im,https://x.com/kimdotcom,False,NONE,,An error/notification page advising users to disable privacy extensions to access x.com.
k.sk,https://k.sk/,False,NONE,,A generic 404 Not Found page indicating the requested URL is unavailable.
k.rw,http://k.rw,True,2000,"2000, 334, 1000",k.rw is a for-sale domain listed on Atom's marketplace.
k.td,https://k.td/,False,NONE,,A password hint for the fish's secret base.
k.tv,https://k.tv/,False,NONE,,Access blocked page due to automated-request detection.
k.tl,http://k.tl/,True,NONE,,"k.tl is a parked domain with contact details, suggesting it may be for sale."
k.tk,https://www.k.tk/,False,NONE,,A webpage displaying an invalid ticket link error.
k.pl,https://k.pl,False,NONE,"2.37, 2.37, 2.37, 9.29, 2.14, 59.29, 59.76, 6.43, 2.14, 2.37, 9.29, 2.14, 2.37, 9.29, 2.14, 14.29, 11.67","Polish hosting and data center provider offering VPS, dedicated servers, colocation, and domain hosting."
k.st,https://k.st/,False,NONE,"86.11, 20.83",A Chinese-language site offering guides and tutorials for opening Hong Kong bank accounts and US/HK stock trading accounts.
k.uk,https://k.uk,True,0,"0, 64770",k.uk is a premium domain name currently for sale.
k.tm,http://k.tm/,False,NONE,,A landing page promoting the premium k.tm domain.
k.vu,https://k.vu/,False,NONE,,A domain name called k.vu.
l.af,https://l.af/,False,NONE,,A comment expressing interest in the domain l.af.
l.am,https://l.am/,False,NONE,,A parked domain page on Sedo for l.am.
l.ar,https://l.ar/,False,NONE,,This is the domain name l.ar.
l.ac,http://l.ac/,True,NONE,,"A parked domain page for l.ac with contact details, likely offered for sale."
l.cl,https://l.cl/,True,NONE,,The domain l.cl is for sale and parked with Sedo.
k.mw,http://k.mw,True,NONE,"57500, 13490, 45169, 257000, 13882, 11800, 100000, 25000, 12000, 7700, 100000, 25000, 500000, 181720, 169000, 115000, 85000, 57338, 44145, 19900, 11000, 6800000, 1500000, 350000, 60000, 1750, 80, 8900, 8900, 8900, 8900, 8900, 49000, 110000, 50000, 204, 500000, 177000, 53, 88580, 20, 4800, 400000, 19800, 8200, 100000, 30000, 100000, 150000, 100000, 50000, 12880, 12880, 12880, 59000, 3850, 3850, 3850, 3850, 3850, 4730, 3850, 22880, 52880, 12880, 22880, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 78000, 3960, 2600, 2600, 2600, 2600, 2600, 3960, 4880, 2600, 8900, 8900, 8900, 49000, 110000, 50000, 204, 500000, 177000, 53, 88580, 20, 4800, 400000, 19800, 8200, 100000, 30000, 100000, 150000, 100000, 50000, 12880, 12880, 12880, 59000",A marketplace listing 1-letter and other short domain names for sale.
l.bw,http://l.bw/,False,NONE,,"L.BW is a beta, free URL shortener service by the AviFox Project."
l.bo,https://l.bo/,False,NONE,,A garbled list of .bo subdomains and a broken URL.
l.cv,https://l.cv/dashboard/login,False,NONE,,"A product page for Sink, a simple, fast, and secure Cloudflare-based link shortener."
l.cm,https://l.cm,True,3450,3450,The domain l.cm is for sale with an asking price of 3450 USD.
l.bz,https://l.bz/,True,NONE,,A landing page selling the domain l.bz.
l.fm,https://l.fm/,True,NONE,,A Sedo parked domain page for l.fm.
l.de,https://l.de,False,NONE,272.5,"Leipziger Gruppe is the Leipzig-based utility company providing energy, mobility, and water services."
l.fo,https://l.fo,True,NONE,"10, 5, 3",A domain-for-sale landing page selling .l.fo subdomains with annual pricing.
k.ws,http://k.ws/,False,NONE,,Parked domain landing page for Website.ws.
l.dk,http://l.dk,False,NONE,59.87,A Danish online shop offering designer home decor and interior goods.
l.gp,https://website.org/404?domain=l.gp,False,NONE,,Landing page promoting free website creation using the l.gp domain under Website.org.
l.hm,https://sedo.com/search/?member=cfb2b78fa149007267f7340e8968aabb9a212966,False,NONE,,A domain search and top-level domain filter page for registering domains.
l.gl,https://sedo.com/search/details/?partnerid=324561&language=us&domain=l.gl&origin=sales_lander_15&utm_medium=Parking&utm_campaign=offerpage,True,275000,275000,"The domain l.gl is for sale, with a Buy Now price of 250,000 EUR."
l.ht,https://l.ht/,False,NONE,,A domain name called l.ht.
l.ie,https://l.ie,False,NONE,,Galway-based driving school offering car lessons and professional driver training with driving-test preparation.
l.hr,https://l.hr,False,NONE,,Chaos Guru is the personal tech-lead blog of Luka Kladaric focused on tech debt and public speaking.
l.im,http://l.im,True,NONE,0,L.IM is a for-sale domain name listed on the Atom marketplace.
l.io,http://l.io/,False,NONE,,The domain l.io is currently parked with contact information.
l.is,https://l.is/,False,NONE,,A domain name using the .is TLD: l.is.
k.nu,http://k.nu/,False,NONE,,"A parked domain page hosted by Loopia, indicating the domain is registered and managed via Loopia's services."
l.ls,http://l.ls/,False,NONE,,A personalized creative email address at ab.cd.
l.lu,https://l.lu/,False,NONE,,A minimal placeholder page for the domain l.lu with a contact email at l@l.lu.
l.mk,https://l.mk,False,NONE,,"l.mk is a freemium notification and micro-consent platform for e-commerce drops, restocks, and product launches."
l.ke,https://l.ke/,False,NONE,,A professional URL shortening service that converts long URLs into concise short links and tracks clicks.
l.pe,https://l.pe/listing,True,NONE,,A domain name (l.pe) for sale listed on Bodis.
l.nf,https://l.nf/,False,NONE,,404 Not Found page indicating the requested URL is not available.
k.vg,http://k.vg,True,1750,"57500, 13490, 45169, 257000, 13882, 11800, 100000, 25000, 12000, 7700, 100000, 25000, 500000, 181720, 169000, 115000, 85000, 57338, 44145, 19900, 11000, 6800000, 1500000, 350000, 60000, 1750, 80, 123, 8900, 8900, 8900, 8900, 8900, 8900, 8900, 49000, 110000, 50, 50000, 500000, 177000, 88580, 18000, 12000, 16800, 16800, 20, 4800, 400000, 19800, 8200, 100000, 30000, 100000, 150000, 100000, 50000, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 78000, 3960, 2600, 2600, 2600, 2600, 2600, 3960, 4880, 2600, 8900, 8900, 8900",Marketplace for ultra-short domain names (one-character and similar) that are for sale.
l.my,https://l.my/,True,NONE,,The domain l.my appears to be for sale.
l.nz,https://adomino.net/de/domain/eyJpdiI6Ijg3ekg2VEt5ZnNDdmFPNlh6bmlhMEE9PSIsInZhbHVlIjoiZWg4cWJvbnBvSW5pVUxkV3FVVDg4Zz09IiwibWFjIjoiNmI0NzkwZDdmMWM0NzhmMzVjZTM0MDliN2Y4Y2U2MDRhODgzMzllMjM3OGI3YzVmODlkNzc5ZjgzZTdjOWM5YyJ9,True,NONE,,A landing page selling the domain l.nz and inviting visitors to request a price quote.
l.pl,https://l.pl,True,NONE,,Aftermarket.pl is a Polish domain registrar and marketplace that lists domains for sale and provides hosting and security services.
l.mr,http://ww53.l.mr/challenge?next=/,False,NONE,,Domain name l.mr (a Mauritania country-code top-level domain).
l.rw,https://l.rw,False,NONE,,A default HTTP server test page for a CentOS-WebPanel installation.
l.sg,https://l.sg/,False,NONE,,"A placeholder/default page indicating a website to be built, with a prompt to upload files to public_html."
l.td,https://l.td/,False,NONE,,404 Not Found page indicating the requested URL is no longer available.
l.ro,https://l.ro/,False,NONE,"1859, 2959","A Romanian B2B IT and digital services platform offering email marketing, hosting, and DNS management for businesses."
l.sv,https://l.sv/,True,NONE,,Domain name for sale; offers can be made via email.
l.tl,https://l.tl,False,NONE,,"A marketing platform offering short URLs with tracking, retargeting, and analytics features."
l.tv,https://l.tv/,False,NONE,,An access-blocked page indicating automated tools are blocked from viewing the site.
l.sh,http://l.sh/,False,NONE,,A premium .sh domain name (l.sh).
l.tt,https://l.tt/,False,NONE,,A 404 Not Found error page indicating the requested link is no longer available.
l.uk,http://l.uk,True,499999,499999,"L.uk is a premium one-letter UK domain currently for sale with a buy-now price of $499,999."
l.tm,http://l.tm/,False,NONE,,A landing page promoting the premium l.tm domain.
l.ua,https://l.ua/,True,35000,35000,The domain name l.ua is for sale.
m.ac,https://m.ac,False,NONE,,"A personal tech blog by Xiufeng Guo about self-hosted apps, Linux, domain names, and life experiences."
m.ag,https://m.ag/,False,NONE,,This is the domain m.ag.
m.ai,https://m.ai,True,NONE,1000000,"m.ai is a premium, single-character .AI domain currently for sale."
m.am,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&dsh=S1814355324%3A1763860508976095&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=ARESoU0JKiA5m47tCueD9FNz1uEtVEyQju_wgKQ-0cGJ_dis9PfOmuRHXa2XqPQjzAUAOCN_WlJA&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin,False,NONE,,This is the Gmail sign-in page.
m.cc,https://m.cc/,False,NONE,,The domain m.cc currently displays a Cloudflare DNS error page and is not for sale.
m.ci,https://m.ci/,False,NONE,,"The m.ci domain is currently down, displaying a Cloudflare 521 error that the web server is not responding."
m.bo,https://m.bo/,False,NONE,,"An obfuscated string containing a URL, with no sale or pricing information."
m.af,http://www.m.af/,True,NONE,1.5,An online domain registrar/marketplace page offering discounted domain names and inviting users to contact the current owner.
m.cg,https://m.cg/,False,NONE,,"A personal blog site with no CG content, with plans to create CG-quality works in the future."
m.cv,https://m.cv,False,NONE,,"A personal portfolio/resume website for Michael Caron, a UX engineer and data scientist."
